city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2088122,Port Moresby,PG,-9.44,147.18,07/19/20,            82.4,78,75,18.34
296173,Yüksekova,TR,37.57,44.29,07/19/20,            69.8,49,0,6.93
1487272,Verkhnyaya Sinyachikha,RU,57.98,61.67,07/19/20,            65.1,88,100,9.93
3664321,Eirunepé,BR,-6.66,-69.87,07/19/20,            72.77,92,0,2.64
509401,Pirogovo,RU,56.78,53.15,07/19/20,            64,96,100,4
5554428,Ketchikan,US,55.34,-131.65,07/19/20,            59,87,90,9.17
3533462,Acapulco de Juárez,MX,16.86,-99.89,07/19/20,            81.07,81,7,3.31
2158767,Mareeba,AU,-17,145.43,07/19/20,            75.11,61,39,3
3469437,Bom Jesus da Lapa,BR,-13.26,-43.42,07/19/20,            61.95,71,0,5.68
3939168,Huarmey,PE,-10.07,-78.15,07/19/20,            59.74,86,16,6.15
5563397,Eureka,US,40.8,-124.16,07/19/20,            55.72,100,28,1.01
3374210,São Filipe,CV,14.9,-24.5,07/19/20,            76.24,86,88,8.95
2961459,Skibbereen,IE,51.55,-9.27,07/19/20,            50,81,40,9.17
2171085,Coffs Harbour,AU,-30.3,153.13,07/19/20,            69.08,37,0,11.41
3401845,Conceição do Araguaia,BR,-8.26,-49.26,07/19/20,            75.2,60,0,3.36
3355672,Lüderitz,NA,-26.65,15.16,07/19/20,            60.8,27,0,2.24
2282006,San-Pédro,CI,4.75,-6.64,07/19/20,            73.54,95,63,5.44
3893629,Coquimbo,CL,-29.95,-71.34,07/19/20,            50,93,74,4.7
5557293,Sitka,US,57.05,-135.33,07/19/20,            57.2,93,90,3.36
2027244,Bagdarin,RU,54.43,113.6,07/19/20,            49.46,86,100,6.33
1524889,Chardara,KZ,41.25,67.97,07/19/20,            89.15,24,12,1.16
5973108,Hearst,CA,49.68,-83.67,07/19/20,            55.49,95,78,13.4
576093,Blagoyevo,RU,63.37,47.92,07/19/20,            61.81,63,0,6.24
1494482,Polunochnoye,RU,60.87,60.42,07/19/20,            56.26,76,99,9.37
3395458,Maragogi,BR,-9.01,-35.22,07/19/20,            75.06,85,50,14.54
2189343,Kaeo,NZ,-35.1,173.78,07/19/20,            64,3,82,3
3346821,Ondjiva,AO,-17.07,15.73,07/19/20,            46.24,56,0,6.87
2449893,Tessalit,ML,20.2,1.01,07/19/20,            85.5,36,76,8.55
2318123,Yenagoa,NG,4.92,6.26,07/19/20,            73.76,94,100,4.34
3665910,Villarrica,CO,3.94,-74.6,07/19/20,            64.67,69,86,6.46
3372472,Vila Franca do Campo,PT,37.72,-25.43,07/19/20,            68,72,75,5.82
2152667,Portland,AU,-38.33,141.6,07/19/20,            53.62,66,74,12.35
3361934,Saldanha,ZA,-33.01,17.94,07/19/20,            42.8,93,0,2.24
2014833,Tura,RU,64.28,100.25,07/19/20,            53.33,74,99,7.65
3924679,Vilhena,BR,-12.74,-60.15,07/19/20,            70.47,55,0,4.21
3577911,Dovers,VC,12.88,-61.18,07/19/20,            82.49,75,3,16.6
3832899,Viedma,AR,-40.81,-63,07/19/20,            48,95,74,3
3374462,Mindelo,CV,16.89,-24.98,07/19/20,            77,83,40,10.29
2122293,Ozernovskiy,RU,51.5,156.52,07/19/20,            51.22,88,92,9.95
2013727,Vanavara,RU,60.34,102.28,07/19/20,            63.09,54,29,3.15
1631393,Prabumulih,ID,-3.45,104.25,07/19/20,            87.28,62,10,4.54
139817,Bushehr,IR,28.97,50.84,07/19/20,            87.8,84,20,2.55
1731248,Alugan,PH,12.22,125.48,07/19/20,            86.63,66,48,7.09
1070940,Fenoarivo,MG,-18.93,47.44,07/19/20,            51.8,81,75,10.29
2834282,Schwerin,DE,53.63,11.41,07/19/20,            58.78,94,100,5.01
258241,Lithakia,GR,37.72,20.83,07/19/20,            71.6,60,0,6.93
3489657,Lucea,JM,18.45,-78.17,07/19/20,            79.75,78,40,2.24
3354077,Opuwo,NA,-18.06,13.84,07/19/20,            48.34,50,0,8.59
1857260,Mikuni,JP,36.22,136.15,07/19/20,            86,66,75,10.29
1508260,Novobirilyussy,RU,56.95,90.67,07/19/20,            70.16,57,92,5.37
2070998,Geraldton,AU,-28.77,114.6,07/19/20,            62.6,59,0,14.99
882955,Manica,MZ,-18.94,32.88,07/19/20,            55.26,100,20,4.7
1622318,Waingapu,ID,-9.66,120.26,07/19/20,            83.57,58,28,12.01
3460697,Itapirapuã,BR,-15.82,-50.61,07/19/20,            67.33,49,0,6.04
1250161,Batticaloa,LK,7.71,81.69,07/19/20,            84.9,66,100,2.24
3855065,General Roca,AR,-39.03,-67.58,07/19/20,            44.6,93,100,2.24
1625908,Sungai Raya,ID,0.7,108.9,07/19/20,            84.69,70,100,3.09
2033403,Yilan,CN,46.32,129.57,07/19/20,            64.58,94,100,3.42
1524302,Ereymentau,KZ,51.62,73.1,07/19/20,            80.08,45,15,10.74
86049,Jalu,LY,29.03,21.55,07/19/20,            72.63,59,0,9.62
6316343,Alta Floresta,BR,-9.88,-56.09,07/19/20,            70.38,59,4,3.89
3374218,Santa Maria,CV,16.6,-22.9,07/19/20,            77,83,40,11.41
3374336,Porto Novo,CV,17.02,-25.06,07/19/20,            77,83,40,10.29
3483197,San Fernando,MX,24.85,-98.15,07/19/20,            79.36,78,0,8.77
1153035,Kathu,TH,7.92,98.33,07/19/20,            85.82,79,40,2.24
1506268,Gornopravdinsk,RU,60.05,69.9,07/19/20,            62.73,67,54,10.11
355449,Esna,EG,25.29,32.55,07/19/20,            82.4,45,34,10.11
2514651,Los Llanos de Aridane,ES,28.66,-17.92,07/19/20,            74.91,88,0,19.46
2090021,Namatanai,PG,-3.67,152.43,07/19/20,            85.62,64,4,9.08
1267390,Kavaratti,IN,10.57,72.64,07/19/20,            81.5,81,100,13.94
548622,Kinel’-Cherkassy,RU,53.47,51.47,07/19/20,            65.41,81,0,8.66
3924948,Ouro Preto do Oeste,BR,-10.75,-62.22,07/19/20,            74.82,61,14,2.62
1224061,Wattegama,LK,6.8,81.48,07/19/20,            78.8,100,90,5.82
1261049,Omalur,IN,11.74,78.05,07/19/20,            84.2,74,40,2.84
3386213,Touros,BR,-5.2,-35.46,07/19/20,            73.4,100,75,4.7
2181625,Te Anau,NZ,-45.42,167.72,07/19/20,            46.87,92,100,2.84
108410,Riyadh,SA,24.69,46.72,07/19/20,            87.8,31,22,3.47
5055787,Kirksville,US,40.19,-92.58,07/19/20,            73.44,94,1,5.82
1164896,Sibi,PK,29.54,67.88,07/19/20,            99.36,43,0,5.17
4717560,Paris,US,33.66,-95.56,07/19/20,            82.8,69,1,8.05
1337613,Kulhudhuffushi,MV,6.62,73.07,07/19/20,            81.48,81,100,22.44
4787534,Sterling,US,39.01,-77.43,07/19/20,            82.51,69,20,5.82
2128975,Nemuro,JP,43.32,145.57,07/19/20,            80.6,54,40,6.93
6089245,Norman Wells,CA,65.28,-126.83,07/19/20,            59,82,40,4.7
2964782,Dingle,IE,52.14,-10.27,07/19/20,            52.07,80,26,5.88
2152659,Port Macquarie,AU,-31.43,152.92,07/19/20,            66.99,37,2,12.44
3412888,Stykkisholmur,IS,65.08,-22.73,07/19/20,            44.92,82,6,4.79
5954718,Flin Flon,CA,54.77,-101.86,07/19/20,            60.91,59,90,2.55
4705041,Lakeway,US,30.36,-97.98,07/19/20,            82.81,69,75,8.05
2270385,Camacha,PT,33.08,-16.33,07/19/20,            69.8,77,40,17.22
3621607,Santa Cruz,CR,10.26,-85.59,07/19/20,            75.78,87,100,4.76
2236967,Soyo,AO,-6.13,12.37,07/19/20,            72.19,88,68,3.8
1814093,Dali,CN,25.7,100.18,07/19/20,            66.22,84,100,4.05
3472473,Alto Araguaia,BR,-17.31,-53.22,07/19/20,            63.27,56,0,3.85
2269142,Colares,PT,38.8,-9.45,07/19/20,            64.99,92,94,5.01
4021858,Guerrero Negro,MX,27.98,-114.06,07/19/20,            68.9,82,25,10.25
69559,Yarim,YE,14.3,44.38,07/19/20,            61.41,59,59,2.21
5214814,Sunbury,US,40.86,-76.79,07/19/20,            75.58,94,1,3.78
1272771,Dhilwan,IN,31.52,75.35,07/19/20,            77,78,75,11.3
909887,Luangwa,ZM,-15.62,30.42,07/19/20,            59.59,84,11,5.95
1264395,Mahendragarh,IN,28.28,76.15,07/19/20,            97.36,44,3,13.42
2014808,Turka,RU,52.95,108.22,07/19/20,            56.05,58,0,10.87
150037,Shelui,TZ,-4.37,34.2,07/19/20,            58.66,70,31,5.41
3931255,Punta de Bombón,PE,-17.17,-71.79,07/19/20,            59.16,78,98,7.49
2098329,Daru,PG,-9.08,143.21,07/19/20,            77.31,87,98,17.98
2176639,Batemans Bay,AU,-35.72,150.18,07/19/20,            56.57,45,0,5.99
2028462,Ulaanbaatar,MN,47.91,106.88,07/19/20,            64.4,48,40,2.24
3651949,San Cristobal,EC,-0.9,-89.62,07/19/20,            70.11,85,17,14.07
2075720,Broome,AU,-17.97,122.23,07/19/20,            77,33,37,10.29
5927969,Corner Brook,CA,48.97,-57.95,07/19/20,            61.29,100,90,4.7
1505579,Inta,RU,66.03,60.17,07/19/20,            63.5,56,2,6.69
358048,Damietta,EG,31.42,31.81,07/19/20,            77,83,0,9.17
1298911,Pyu,MM,18.48,96.43,07/19/20,            87.03,68,100,5.1
5966821,Grenfell,CA,50.42,-102.93,07/19/20,            59.95,88,14,1.79
3660401,Bahía de Caráquez,EC,-0.6,-80.42,07/19/20,            71.44,86,81,9.98
1082243,Ambilobe,MG,-13.2,49.05,07/19/20,            67.69,62,3,5.1
2173911,Broken Hill,AU,-31.95,141.43,07/19/20,            55.4,47,0,13.87
1503037,Kodinsk,RU,58.69,99.18,07/19/20,            68.34,40,99,3.47
3941492,Desaguadero,PE,-16.57,-69.04,07/19/20,            40.46,68,64,1.77
2038067,Chifeng,CN,42.27,118.96,07/19/20,            85.37,23,0,7.31
5983607,Inuvik,CA,68.35,-133.72,07/19/20,            51.8,66,75,1.59
1862505,Hirara,JP,24.8,125.28,07/19/20,            89.6,62,40,9.17
2063523,Perth,AU,-31.93,115.83,07/19/20,            61.95,55,0,16.11
2013406,Vidim,RU,56.41,103.11,07/19/20,            62.04,44,51,4.23
1185274,Baniachang,BD,24.52,91.37,07/19/20,            83.7,82,100,12.28
5983720,Iqaluit,CA,63.75,-68.51,07/19/20,            41,100,90,11.41
316795,Develi,TR,38.39,35.49,07/19/20,            64.4,68,0,3.36
5779548,Payson,US,40.04,-111.73,07/19/20,            82.02,30,1,4.7
3984997,San Quintín,MX,30.48,-115.95,07/19/20,            71.19,67,0,17.76
3389353,Santarém,BR,-2.44,-54.71,07/19/20,            75.2,94,13,2.66
3137469,Sørland,NO,67.67,12.69,07/19/20,            55.29,83,99,12.88
64814,Bandarbeyla,SO,9.49,50.81,07/19/20,            80.89,59,99,29.15
1508501,Chadan,RU,51.28,91.58,07/19/20,            74.55,50,26,2.95
5233053,Yankton,US,42.87,-97.4,07/19/20,            72.72,83,1,3.36
524681,Mrakovo,RU,52.72,56.62,07/19/20,            69.49,72,15,7.09
777682,Skjervøy,NO,70.03,20.97,07/19/20,            50.7,94,99,1.19
1856392,Muroto-misakicho,JP,33.28,134.15,07/19/20,            82.4,78,75,9.17
3899695,Ancud,CL,-41.87,-73.82,07/19/20,            44.51,100,90,3.36
3868633,Vallenar,CL,-28.57,-70.76,07/19/20,            56.37,73,100,0.94
3979962,Yavaros,MX,26.7,-109.52,07/19/20,            86,77,100,3
1567681,Son La,VN,21.32,103.9,07/19/20,            85.12,66,100,0.29
1225018,Vavuniya,LK,8.75,80.5,07/19/20,            88.47,58,33,4.7
1637510,Loa Janan,ID,-0.58,117.09,07/19/20,            84.13,80,96,2.91
2137773,Vao,NC,-22.67,167.48,07/19/20,            69.4,70,2,15.35
1267776,Kargil,IN,34.57,76.1,07/19/20,            54.61,53,83,2.53
2224212,Njinikom,CM,6.23,10.28,07/19/20,            60.93,99,100,0.38
2155562,Nelson Bay,AU,-32.72,152.15,07/19/20,            64.74,23,0,14.99
2013392,Vilyuysk,RU,63.76,121.62,07/19/20,            68.36,91,100,4.72
1637001,Luwuk,ID,-0.95,122.79,07/19/20,            84.22,67,45,6.78
1491055,Stantsionno-Oyashinskiy,RU,55.47,83.82,07/19/20,            74.37,82,56,7.58
623760,Pastavy,BY,55.12,26.83,07/19/20,            59.97,80,19,1.74
5126209,Mastic Beach,US,40.77,-72.85,07/19/20,            75.02,88,90,10.29
743881,Kastamonu Province,TR,41.5,33.67,07/19/20,            67.55,70,0,2.17
3620266,Corn Island,NI,12.17,-83.04,07/19/20,            82.62,80,97,15.55
1790437,Zhuhai,CN,22.28,113.57,07/19/20,            91.31,79,20,10.29
1337617,Muli,MV,2.92,73.57,07/19/20,            83.66,75,100,20.45
1277769,Baikunthpur,IN,23.25,82.55,07/19/20,            84.79,67,98,7.63
2138555,Poum,NC,-20.23,164.02,07/19/20,            71.46,71,32,19.13
3382160,Cayenne,GF,4.93,-52.33,07/19/20,            75.2,100,95,5.88
3470137,Belmonte,BR,-15.86,-38.88,07/19/20,            68,94,75,6.93
1811929,Ducheng,CN,23.24,111.53,07/19/20,            94.41,51,78,7.09
3441702,Melo,UY,-32.37,-54.18,07/19/20,            64.13,90,36,7.18
1185239,Mathbaria,BD,22.29,89.96,07/19/20,            87.71,72,100,14.88
6148373,Sioux Lookout,CA,50.1,-91.92,07/19/20,            57.2,71,75,6.93
5870133,Nome,US,64.5,-165.41,07/19/20,            54.23,76,90,6.93
921786,Mitsamiouli,KM,-11.38,43.28,07/19/20,            76.1,67,3,10.83
1734651,Gua Musang,MY,4.88,101.96,07/19/20,            92.17,54,98,1.07
1268015,Kanhangad,IN,12.31,75.11,07/19/20,            82.31,78,99,3.8
3892454,Diego de Almagro,CL,-26.37,-70.05,07/19/20,            48.04,72,100,0.16
3347762,Lubango,AO,-14.92,13.49,07/19/20,            46.54,54,0,5.08
2077895,Alice Springs,AU,-23.7,133.88,07/19/20,            66.2,29,16,16.11
219057,Beni,CD,0.5,29.47,07/19/20,            58.95,99,22,1.3
471245,Vozhega,RU,60.47,40.22,07/19/20,            60.89,66,68,4.7
2064550,Northam,AU,-31.67,116.67,07/19/20,            60.33,54,0,13.87
339219,Dessie,ET,11.13,39.63,07/19/20,            56.25,80,22,3.83
5882953,Aklavik,CA,68.22,-135.01,07/19/20,            51.8,66,75,5.57
2527087,Tiznit Province,MA,29.58,-9.5,07/19/20,            76.19,40,0,0.76
627145,Kobryn,BY,52.21,24.36,07/19/20,            57.2,100,20,2.24
1056899,Sambava,MG,-14.27,50.17,07/19/20,            69.94,77,54,14.9
602150,Umeå,SE,63.83,20.26,07/19/20,            62.78,100,91,4.7
1516589,Zhezkazgan,KZ,47.8,67.71,07/19/20,            77,38,1,11.18
3374083,Bathsheba,BB,13.22,-59.52,07/19/20,            82.4,74,40,13.87
5354943,Half Moon Bay,US,37.46,-122.43,07/19/20,            61.03,87,90,4.7
516588,Nyrob,RU,60.73,56.72,07/19/20,            67.35,60,0,10.38
2629833,Husavik,IS,66.04,-17.34,07/19/20,            44.6,93,90,2.24
3115824,Muros,ES,42.78,-9.06,07/19/20,            66,80,4,8.01
2304548,Anloga,GH,5.79,0.9,07/19/20,            77,88,75,8.05
3356832,Henties Bay,NA,-22.12,14.28,07/19/20,            73,21,0,18.14
5703673,Elko,US,41,-115.5,07/19/20,            81.5,16,1,3.36
1785036,Zhangye,CN,38.93,100.45,07/19/20,            87.93,13,34,9.91
3866163,Alta Gracia,AR,-31.65,-64.43,07/19/20,            53.47,100,90,5.82
1317402,Kyaikkami,MM,16.08,97.57,07/19/20,            83.01,76,100,2.26
3671437,Caucayá,CO,-0.19,-74.78,07/19/20,            71.83,96,98,0.76
